Order Id,Scenario Type,Order Type,Order Status,Task Name,Originator Name,Originator Group Id,Service Id,Service Impacting,Order creation Date,Rejected,Assigned User,Assigned Group,Task Opened On,
NCCM_51366,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 10:09,No,,Provisioning-Network,Provisioning-Network,22-12-2015 05:31
NCCM_51367,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,hemant.pawar,Provisioning-Network,,No,08-12-2015 10:25,No,,Provisioning-Network,Provisioning-Network,08-12-2015 12:22
NCCM_51368,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 10:33,No,,Provisioning-Network,Provisioning-Network,08-12-2015 11:22
NCCM_51369,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 10:45,No,,Provisioning-Network,Provisioning-Network,08-12-2015 13:34
NCCM_51370,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,ISInamda,Provisioning-Network,,No,08-12-2015 11:01,No,,CM-Transport,CM-Transport,08-12-2015 11:03
NCCM_51371,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 11:04,No,,Provisioning-Network,Provisioning-Network,08-12-2015 12:44
NCCM_51373,CEASE,BTNCCM,Ceasing,UndoNCCM_BM_Tx_UpdateCramerCLR,ISInamda,Provisioning-Network,,No,08-12-2015 11:24,No,ISINAMDA,Provisioning-Network,Provisioning-Network,08-12-2015 11:26
NCCM_51373,CEASE,BTNCCM,Ceasing,UndoNCCM_BM_Tx_ScheduleBulkMigration,ISInamda,Provisioning-Network,,No,08-12-2015 11:24,No,ISINAMDA,Provisioning-Network,Provisioning-Network,08-12-2015 11:27
NCCM_51372,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 11:22,No,,Provisioning-Network,Provisioning-Network,08-12-2015 12:53
NCCM_51375,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 12:16,No,,Provisioning-Network,Provisioning-Network,08-12-2015 13:07
NCCM_51376,CEASE,PITGISNCCM,Ceased,,KJamdade,PMG,091MUMB1143005693400,No,08-12-2015 12:48,No,,,,
NCCM_51377,NORMAL,PITGISNCCM,IN PROGRESS,NCCM_PITGIS_RaiseChangeRequest,KJamdade,PMG,091MUMB1143005693400,No,08-12-2015 12:49,No,,PMG,PMG,08-12-2015 12:49
NCCM_51378,CEASE,PGICCNCCM,Ceased,,paresh.pawar,SOC-IP,091BENG030003433461,No,08-12-2015 12:51,No,,,,
NCCM_51381,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091MUMB1143005693400,No,08-12-2015 12:57,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,15-12-2015 17:04
NCCM_51383,CEASE,PITGISNCCM,Ceased,,KJamdade,PMG,091NAVI623005939318,No,08-12-2015 13:09,No,,,,
NCCM_51382,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 13:05,No,,Provisioning-Network,Provisioning-Network,10-12-2015 11:53
NCCM_51384,CEASE,PITGISNCCM,Ceased,,KJamdade,PMG,091NAVI623005939318,No,08-12-2015 13:09,No,,,,
NCCM_51386,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091NAVI623005939318,No,08-12-2015 13:12,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,17-12-2015 11:20
NCCM_51387,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091MUMB1143012416024,No,08-12-2015 13:18,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,16-12-2015 10:45
NCCM_51388,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091MUMB030008094734,No,08-12-2015 13:23,Yes,,Provisioning-Network,Provisioning-Network,23-03-2016 12:45
NCCM_51389,CEASE,PINCNCCM,Ceasing,UndoNCCM_PC_INC_ValidateOrder,KJamdade,,091NAVI1143011144887,No,08-12-2015 13:30,Yes,,ESOC,ESOC,19-03-2016 11:41
NCCM_51389,CEASE,PINCNCCM,Ceasing,UndoNCCM_PC_INC_RaiseCR,KJamdade,,091NAVI1143011144887,No,08-12-2015 13:30,Yes,,ESOC,ESOC,19-03-2016 11:41
NCCM_51391,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091MUMB1258009374126,No,08-12-2015 13:40,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,15-12-2015 17:06
NCCM_51393,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,08-12-2015 13:42,No,,Provisioning-Network,Provisioning-Network,10-12-2015 17:51
NCCM_51394,NORMAL,PINCNCCM,IN PROGRESS,NCCM_setCLRErrorTask,KJamdade,,22294283574,No,08-12-2015 13:44,No,,Provisioning-Network,Provisioning-Network,09-12-2015 11:19
NCCM_51390,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AFating,Provisioning-Network,,No,08-12-2015 13:36,No,,Provisioning-Network,Provisioning-Network,15-12-2015 13:31
NCCM_51395,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091MUMB1143008875580,No,08-12-2015 13:50,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,15-12-2015 17:27
NCCM_51396,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,091NAVI623006395489,No,08-12-2015 13:55,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,15-12-2015 17:14
NCCM_51397,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,singh.amit,ESOC,091GOA0030001699296,No,08-12-2015 14:32,Yes,ploni,Provisioning-Network,Provisioning-Network,30-12-2015 12:51
NCCM_51400,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,singh.amit,ESOC,8322235862,No,08-12-2015 14:36,Yes,,Provisioning-Network,Provisioning-Network,17-12-2015 16:09
NCCM_51401,NORMAL,URINNCCM,CLOSED,,singh.amit,ESOC,4031202564,No,08-12-2015 15:12,No,,,,
NCCM_51823,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,singh.amit,ESOC,2220394552,No,15-12-2015 14:52,No,,Provisioning-Network,Provisioning-Network,08-01-2016 11:20
NCCM_54591,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091KOLK1143010878507,No,10-02-2016 15:54,No,,Provisioning-Network,Provisioning-Network,10-02-2016 16:02
NCCM_54592,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091KOLK1143010924000,No,10-02-2016 15:55,Yes,,Provisioning-Network,Provisioning-Network,17-02-2016 11:39
NCCM_54595,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091MUMB1143004862954,No,10-02-2016 15:57,No,,Provisioning-Network,Provisioning-Network,10-02-2016 16:05
NCCM_54598,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091MUMB1143005867951,No,10-02-2016 15:58,Yes,,Provisioning-Network,Provisioning-Network,17-02-2016 11:40
NCCM_55221,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,13-02-2016 10:33,No,,Provisioning-Network,Provisioning-Network,14-03-2016 12:03
NCCM_54599,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091MUMB1143005994112,No,10-02-2016 15:58,Yes,,Provisioning-Network,Provisioning-Network,17-02-2016 11:41
NCCM_55222,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,13-02-2016 12:28,No,,Provisioning-Network,Provisioning-Network,13-02-2016 18:50
NCCM_54600,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,KJamdade,,091MUMB1143006420751,No,10-02-2016 15:59,Yes,,Provisioning-Network,Provisioning-Network,17-02-2016 11:42
NCCM_55233,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,ISInamda,Provisioning-Network,,No,13-02-2016 17:05,No,,Provisioning-Network,Provisioning-Network,13-02-2016 19:05
NCCM_55234,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AFating,Provisioning-Network,,No,13-02-2016 18:48,No,,Provisioning-Network,Provisioning-Network,17-03-2016 03:33
NCCM_55238,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_UpdateCramerCLR,paresh.pawar,SOC-IP,,No,15-02-2016 10:31,No,,Provisioning-Network,Provisioning-Network,20-02-2016 18:33
NCCM_55239,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_UpdateCramerCLR,paresh.pawar,SOC-IP,,No,15-02-2016 10:35,No,,Provisioning-Network,Provisioning-Network,16-02-2016 12:28
NCCM_55240,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,singh.amit,ESOC,25397340691,No,15-02-2016 11:45,No,,ESOC,ESOC,20-02-2016 13:33
NCCM_55244,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,ISInamda,Provisioning-Network,,No,15-02-2016 14:00,No,,CM-Transport,CM-Transport,15-02-2016 14:01
NCCM_55246,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_RaiseCR,singh.amit,ESOC,091BENG1143007734611,No,15-02-2016 14:38,Yes,,ESOC,ESOC,29-02-2016 15:33
NCCM_57100,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AzanSidd,Provisioning-Network,,No,14-03-2016 15:13,No,,Provisioning-Network,Provisioning-Network,16-03-2016 05:25
NCCM_57062,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,1295316096,No,14-03-2016 09:31,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:39
NCCM_57063,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,10408295316094,No,14-03-2016 09:40,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:42
NCCM_57064,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,10213295316095,No,14-03-2016 09:44,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:46
NCCM_36547,CAESE,PINCNCCM,Ceased,,singh.amit,,1131250968,No,12-01-2015 13:43,No,,,,
NCCM_38588,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,manisha.sharma,ESOC,1167236587,No,09-03-2015 21:01,No,,ESOC,ESOC,15-05-2015 18:30
NCCM_57065,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,10212295316097,No,14-03-2016 09:47,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:49
NCCM_57066,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,1295316098,No,14-03-2016 09:50,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:51
NCCM_36522,NORMAL,BTNCCM,CLOSED,,sadvitot,Provisioning-Network,,No,12-01-2015 12:06,No,,,,
NCCM_36429,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_ScheduleDateForBulkMigration,prashanth.shet,IP-Field-Ops-Bangalore,,No,08-01-2015 14:39,No,,IP-Field-Ops-Bangalore,IP-Field-Ops-Bangalore,13-01-2015 00:00
NCCM_37781,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_ScheduleDateForBulkMigration,KKumari,SOC-IP,,No,16-02-2015 10:04,No,,SOC-IP,SOC-IP,19-02-2015 10:19
NCCM_51815,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_GetExistingCLRJeopardy,singh.amit,ESOC,2P300414,No,15-12-2015 12:46,No,,SD-CNOC,SD-CNOC,19-01-2016 18:28
NCCM_36431,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,omprakash.kore,Provisioning-Network,,No,08-01-2015 15:04,No,,Provisioning-Network,Provisioning-Network,03-02-2015 16:04
NCCM_38054,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_ScheduleDateForBulkMigration,KKumari,SOC-IP,,No,23-02-2015 11:43,No,,SOC-IP,SOC-IP,23-02-2015 17:19
NCCM_36962,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,SupriKat,Provisioning-Network,,No,26-01-2015 11:09,No,,CM-Transport,CM-Transport,26-01-2015 11:11
NCCM_38561,CEASE,BINCCM,Ceased,,KKumari,SOC-IP,,No,09-03-2015 10:20,No,,,,
NCCM_36751,NORMAL,PINCNCCM,IN PROGRESS,,singh.amit,,091GURG1143009103557,No,19-01-2015 13:13,No,,,,
NCCM_37519,NORMAL,PINCNCCM,CLOSED,,d.sharma,ESOC,091BENG1143006701889,No,09-02-2015 19:00,No,,,,
NCCM_37963,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,JKathare,Provisioning-Network,,No,20-02-2015 16:14,No,,CM-Transport,CM-Transport,20-02-2015 16:18
NCCM_57067,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ConfigureCircuit,paresh.pawar,SOC-IP,1295316099,No,14-03-2016 09:52,No,,CM-IP-Enterprise,CM-IP-Enterprise,14-03-2016 09:55
NCCM_38021,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AFating,Provisioning-Network,,No,22-02-2015 10:28,No,,Provisioning-Network,Provisioning-Network,11-06-2015 12:28
NCCM_36529,NORMAL,PITGISNCCM,IN PROGRESS,NCCM_PITGIS_RaiseChangeRequest,singh.amit,PMG,091GURG030007433240,No,12-01-2015 12:39,No,,PMG,PMG,12-01-2015 12:40
NCCM_38022,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,nitin.dabhade,ESOC,22100172605,No,22-02-2015 13:11,No,,ESOC,ESOC,10-03-2015 18:31
NCCM_38761,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_AnalyzeReqAndMentionSch,manisha.sharma,ESOC,20128268872,No,16-03-2015 13:04,Yes,,Provisioning-Network,Provisioning-Network,30-09-2015 11:26
NCCM_42468,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_ReviewAndCloseOrder,KJamdade,,2231301146,No,25-06-2015 12:22,No,,MAN Field Ops-New Delhi,MAN Field Ops-New Delhi,26-09-2015 06:32
NCCM_36532,NORMAL,PINCNCCM,IN PROGRESS,,singh.amit,,091GURG030007433240,No,12-01-2015 12:52,No,,,,
NCCM_38055,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_RaiseCR,singh.amit,,091MUMB623007437542,No,23-02-2015 13:12,Yes,,ESOC,ESOC,08-03-2015 17:51
NCCM_38565,NORMAL,PITGISNCCM,IN PROGRESS,NCCM_PITGIS_UpdateConcord,t.muraleekrishna,IP-Field-Ops-Chennai,4431208780,No,09-03-2015 10:53,No,,SOC-IP,SOC-IP,09-03-2015 11:37
NCCM_36722,NORMAL,PITGISNCCM,IN PROGRESS,NCCM_PITGIS_RaiseChangeRequest,ajini.paul,IP-Field-Ops-Ernakulam,091KOCH030003872572,No,19-01-2015 11:20,No,,IP-Field-Ops-Ernakulam,IP-Field-Ops-Ernakulam,19-01-2015 11:21
NCCM_36725,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_VerifyBulkMigrationTemplate,ashish.anturkar,IP-Field-Ops-Pune,,No,19-01-2015 11:41,No,,SOC-IP,SOC-IP,19-01-2015 11:45
NCCM_36726,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_VerifyBulkMigrationTemplate,jayaprasad.k,IP-Field-Ops-Hyderabad,,No,19-01-2015 11:45,No,,SOC-IP,SOC-IP,19-01-2015 11:47
NCCM_36727,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_VerifyBulkMigrationTemplate,jayaprasad.k,IP-Field-Ops-Hyderabad,,No,19-01-2015 11:48,No,,SOC-IP,SOC-IP,19-01-2015 11:59
NCCM_39521,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_ScheduleDateForBulkMigration,KKumari,SOC-IP,,No,13-04-2015 08:47,No,,SOC-IP,SOC-IP,13-04-2015 11:23
NCCM_36732,NORMAL,PITGISNCCM,IN PROGRESS,NCCM_PITGIS_TakeDowntimeAndSchedule,jayaprasad.k,IP-Field-Ops-Hyderabad,4031218488,No,19-01-2015 12:01,No,,IP-Field-Ops-Hyderabad,IP-Field-Ops-Hyderabad,19-01-2015 12:22
NCCM_38803,NORMAL,PINCNCCM,IN PROGRESS,NCCM_PC_INC_RaiseCR,psalokhe,ESOC,091MUMB1258007357103,No,18-03-2015 08:50,No,,ESOC,ESOC,18-03-2015 08:53
NCCM_36728,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,hemant.pawar,Provisioning-Network,,No,19-01-2015 11:56,No,,Provisioning-Network,Provisioning-Network,19-01-2015 13:24
NCCM_37463,CEASE,URINNCCM,Ceased,,snadre,ESOC,091CHEN515008176574,No,09-02-2015 04:41,No,,,,
NCCM_57068,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_UpdateCramerCLR,paresh.pawar,SOC-IP,,No,14-03-2016 09:54,No,,Provisioning-Network,Provisioning-Network,20-03-2016 12:53
NCCM_38808,CEASE,PINCNCCM,Ceased,,psalokhe,ESOC,091MUMB1258007357103,No,18-03-2015 09:27,No,,,,
NCCM_37782,CEASE,URINNCCM,Ceasing,UndoNCCM_UR_IN_ValidateOrder,psalokhe,ESOC,091MUMB1143010183338,No,16-02-2015 10:08,No,,ESOC,ESOC,16-02-2015 12:59
NCCM_38289,NORMAL,URINNCCM,IN PROGRESS,NCCM_UR_IN_ReviewCR,snadre,ESOC,20183267786,No,02-03-2015 11:53,No,,ESOC,ESOC,08-06-2015 18:09
NCCM_57070,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_UpdateCramerCLR,paresh.pawar,SOC-IP,,No,14-03-2016 09:58,No,,Provisioning-Network,Provisioning-Network,14-03-2016 17:38
NCCM_37464,NORMAL,URINNCCM,CLOSED,,snadre,ESOC,091CHEN515008176574,No,09-02-2015 04:48,No,,,,
NCCM_37467,NORMAL,BINCCM,CLOSED,,KKumari,SOC-IP,,No,09-02-2015 10:20,No,,,,
NCCM_38290,NORMAL,BINCCM,IN PROGRESS,NCCM_BM_IP_ScheduleDateForBulkMigration,KKumari,SOC-IP,,No,02-03-2015 12:39,No,,SOC-IP,SOC-IP,09-03-2015 15:03
NCCM_38810,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AFating,Provisioning-Network,,No,18-03-2015 11:28,No,,Provisioning-Network,Provisioning-Network,02-04-2015 19:11
NCCM_51402,NORMAL,PGICCNCCM,IN PROGRESS,NCCM_PC_GIC_ScheduleImplementation,paresh.pawar,SOC-IP,091BENG030003433461,No,08-12-2015 15:30,No,,SOC-IP,SOC-IP,08-12-2015 18:16
NCCM_51404,NORMAL,BTNCCM,IN PROGRESS,NCCM_BM_Tx_ReviewAndClose,AzanSidd,Provisioning-Network,,No,08-12-2015 15:49,No,,Provisioning-Network,Provisioning-Network,09-12-2015 19:41
